mint,sources,protocols,symbol,name,decimals,is_verified,pool_count,sample_pools
2tvnmqcSbtbMvQ4SoF7fdtcNgB1TvRCF4jj6ZoBBpump,pump_program_buy,pumpfun,,,6,false,1,He9wmBajnnruvF1JShXg5tXKx4PLuR6U948hPa7Vcvih
2tXTwYKbMbNvoAg8kaivNab1AYAgPisjcXszFj2RpdwC,pump_program_buy,pumpfun,,,6,false,3,2m82oVU9pQ36bpCXS1W95YKYUPkWpr4qQjbcnNcYtEzs
2U9LubPWVFR4EH2iHns1Y9JWmoanHv3wDQD7HBL8pump,pump_program_sell,pumpfun,,,6,false,1,5ipadwpXWrzEYTyUVLwAPMY4vYDwMmqYtgMJGwAoyv8V
2VqMFnGKcuWf2Dce1a36BVczGE57ejiHwUhUMSuEpump,pump_program_sell,pumpfun,,,6,false,1,HQs8imoJzB7dnTF8URXJ31N3FwPVixFg25WMBnYH69go
2w9QwLqWcUtQo9WEWPQnVEQRY4yopCpT7QcEyJeepump,pump_program_sell,pumpfun,,,6,false,1,CpGhK8u5Zy5Rjs8VHzLQh9DLc8x8KmpMEdCBE1LpWjwg
2WifxtmmjYCwkjjDei3Y71PqhjjX8fPVFersDh8mpump,pump_program_sell,pumpfun,,,6,false,1,DGSBPzE83VzC3s8sKsPdAe3xhZkQFG4wrs4Q59EvEah
2WLqmbAfBwwSoNywm2nxXwmcZNAkHcwJ1NDqJjyjpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,Catstro,Fidel Catstro,6,false,4,2YFAdWQgHg4J85yob6Vb8S9PeLS3e79527GyZivQFg49
2Zphj3AZPWUqobg4unifBTtTyzksWCwJFmTQEfVApump,pump_program_sell,pumpfun,,,6,false,1,Ds2kbuZzA8YVCmXRYy9RkGn9ZHG1Fs8kye8GzAf7dpSC
2ZvTQyTnPTqTMiMw5kPzUtSJbRH2WAdv8YP2KR5Lpump,pump_program_sell,pumpfun,,,6,false,1,EtQGwMmfZUph5hR75UWg7Uv8btDybtQ7YPdVeEAQTbKs
34demJZGXwuxRHP6Pj8T1C1JY6cfRnzAhbPCGCWMpump,pump_program_buy,pumpfun,,,6,false,1,5CNwwyraPiwdQrvVuLpTC35EM2BDJPeHogBJg8UpxZtJ
39PoX3vDJnqQ3iSRMW5qqzA5PqrqsmFB6CNK8Mb8pump,pump_program_sell,pumpfun,,,6,false,1,L4GEBnshQG5MpPGLo8KCSBs6mLg4jtsin7FXwwALp7r
39SmWkwske9Y7yKsJqziE5BAFvvUBYqbg5vxGtYtpump,pump_program_sell,pumpfun,,,6,false,1,BhvMHGbSiXa3gDo8s1jYKusERZVSKWyMXoR68fJgAdzB
3AgGvUc2LUnmgdXgbBYiL95u4UwiMNof6GZ7aEtGpump,pump_program_sell,pumpfun,,,6,false,1,Gn3w2wFSpyGKRh7uVGzZjPiYgf8goRbwuyfMhC6cUkP4
3BkQwBGKB3QqsELCLaRW18zhbFDMBdm2R2FtR2JqSPKN,pump_program_create,pumpfun,DEST,Sergiño Dest,6,false,1,HQybHrdzXEdMGEhn5y4kL441dg8V8iL8S6t79ZeNfyeh
3By7N8SVuNbY4hf3tcfeaP3ScU8CKCjrjrEvvnmVpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,14,64ACHMYm8VDtKAybSjqruU1kwmFyw1SGsTDFr47RB9Ca
3C81A8tTrM5Y6gicFZwL5NpEDFqsrXFbYVYWAhBypump,pump_program_create_v2,pumpfun,WHTF,CHECK PIC OF MAIN,6,false,1,GwPWdsSfrR8hZh8p9GYgV7FoHPoc2qW5ym1NtkUakT7Z
3c8Jzhk7Gzzz3Gc22G2u5hbH3L6CarpNbW3759v3tysZ,pump_program_sell,pumpfun,,,6,false,1,D6twvkKypxCyAK9uwi7Vdya444PCmMH8y8sHPo5NrUtF
3dgyAJtHLWmdPTt7ZyxXJqepnW2f8xYeb7BULMHkpump,pump_program_buy,pumpfun,,,6,false,1,cyUrH4QSXGD8hH3bDLWnXhQCdRYHvGZ65wEGhVJ1RAG
3ehDYLWEufxREAMsjA3X44QBh48Yg7j7XBA64VpvM24a,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,KEM,Kem,6,false,4,VWbtVAzwDHvgKCuggWSS7C1ui8JFTNiPW3XbSAfyWWE
3FcSradAiETa5jybw8x6tNCw19iP1QA62ojATvLDpump,pump_program_sell,pumpfun,,,6,false,1,FpGDyEAbofeLuQXXG1hKBj19mqB8MzKu5PaVq7oE8io7
3k5oxDh9GsJTt212QKEzNUZisYEwqz6aHpu4KB4Jpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,5,F5XbkV4keGi9JDzRCWpV1Ve4f3eH46c7SnPasRNPWgyp
3m6w2v1Bygye7AYRHLFBXGGWHzPmsN661GVLEiYhpump,pump_program_sell,pumpfun,,,6,false,4,CZF7rvc9ancaKajH8RetBoxwx4w2mxP4VALKghvJHrWo
3Mda89jS2dhAicBFpiEadULBpAd12NqUTJshxu7epump,pump_program_sell,pumpfun,,,6,false,3,AqQPm4DYbJFxx1vXct7uAdakgEkqNkPhJcGTXvwBqyZP
3n34DkYCFNPcp5XLzjPBDJmeasPi8hjzMSn27TYvK7da,pump_program_sell,pumpfun,,,6,false,1,5BRt5qpyCgizSyRuUgAKCpoXfNN2P8CwUzCZNbFivSyt
